Dataset,Problema,N record,% totale,Decisione,Motivazione,Impatto modello
Transactions,QTY_PDT > 10 (56 righe),56,0.006%,MANTENERE. Nessuna azione.,Acquisti multipli dello stesso articolo (es. accessori) sono legittimi. 56 righe su 916k e trascurabile.,Trascurabile
Clients,BIRTH_DATE pre-1900 (1.891),1891,0.46%,NULLIFY (set a NaT). Flag BIRTH_DATE_VALID=0.,Date impossibili (placeholder 1804-01-01). Trattarle come missing e corretto.,Minimo. AGE non sara usata direttamente (vedi AGE in Aggregated).
Clients,BIRTH_DATE eta < 18 anni (421),421,0.10%,NULLIFY. Flag BIRTH_DATE_VALID=0.,Eta incompatibile con cliente Cartier. Probabili errori di inserimento.,Minimo
Clients,BIRTH_DATE eta > 100 anni (1.993),1993,0.48%,NULLIFY. Flag BIRTH_DATE_VALID=0.,Eta implausibile per cliente attivo. Quasi certamente placeholder o errore.,Minimo
Clients,FIRST_PURCHASE vs FIRST_TRANSACTION gap > 365gg (7.243),7243,1.8%,MANTENERE. Flag PURCHASE_DATE_ANOMALY. Calcola gap in giorni.,Potrebbe indicare clienti con acquisti offline non tracciati digitalmente. Non c'e motivo certo per droppare.,PURCHASE_DATE_ANOMALY puo essere feature per identificare clienti con storico parziale
CRC,APPOINTMENT_DURATION missing (86.1% — MAR),132576,86.1%,Creare flag HAS_APPOINTMENT_DURATION (0/1). Non imputare.,"MAR: missing correlato a ORIGIN (Phone/Email = 100% missing, CRC = 0%). Imputare introdurrebbe bias. La flag cattura il segnale.",HAS_APPOINTMENT_DURATION come feature binaria in supplementary_features
CRC,APPOINTMENT_DURATION > 480 min (4 righe),4,0.003%,DROP righe,Appuntamenti > 8 ore impossibili operativamente. Errori di inserimento certi.,Trascurabile
CCP,SALE_DATE > CREATION_DATE <= 7gg (121),121,0.27%,TOLLERARE. Non droppare.,Differenze di pochi giorni probabilmente dovute ad arrotondamento o timezone. Il dato rimane utilizzabile.,Minimo
CCP,SALE_DATE > CREATION_DATE > 30gg (94),94,0.21%,DROP righe,Differenze > 30 giorni logicamente impossibili (un prodotto non puo essere venduto dopo essere stato registrato). Errori certi.,Trascurabile
CCP,SALE_DATE missing (60.8%),26932,60.8%,Creare flag SALE_DATE_VALID (0/1). Non imputare.,Missing simile tra FLAG_GIFT True (65.1%) e False (60.2%) — non fortemente MAR. La flag e informativa.,SALE_DATE_VALID come feature in supplementary_features
Articles,WORLD_PRICE < 1 EUR (20 articoli — tutti ProductCategory_7),20,0.03%,MANTENERE. Non modificare.,ProductCategory_7 non appare in Transactions — questi articoli non contribuiscono ai calcoli. Impatto nullo.,Nessuno (categoria non in Transactions)
Articles,ARTICLE_ID orfani in Transactions (5.378 = 18.6%),5378,18.6% di TRS ARTICLE_ID,Usare LEFT JOIN (non INNER JOIN) in feature engineering tra Transactions e Articles.,Articoli dismessi o codici legacy. Il valore di spend e presente in Transactions — non va perso con un inner join.,WWPRICE sara NULL per orfani — gestito da WWPRICE_MISSING flag
